out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
ta200,day,K,Air Temperature,air_temperature,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time p200,,,,real,,
ta500,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p500,,,,real,,
ta500,day,K,Air Temperature,air_temperature,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time p500,,,,real,,
ta50m,1hr,K,Air Temperature at 50m,air_temperature,,URB-TIER1,,requested for urban modeling,area: areacella,area: mean time: point,longitude latitude time1 height50m,,,,real,,
ta50m,day,K,Air Temperature at 50m,air_temperature,,URB-TIER1,,requested for urban modeling,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
ta50m,mon,K,Air Temperature at 50m,air_temperature,,URB-TIER1,,requested for urban modeling,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
ta700,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
ta700,6hr,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
ta700,day,K,Air Temperature,air_temperature,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
ta700,mon,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
ta850,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
ta850,6hr,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
ta850,day,K,Air Temperature,air_temperature,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
ta850,mon,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
ta925,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
ta925,6hr,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
ta925,day,K,Air Temperature,air_temperature,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
ta925,mon,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6,area: areacella,area: mean time: point,longitude latitude time1 height2m,,,,real,,
tas,day,K,Near-Surface Air Temperature,air_temperature,I4C-CORE,URB-CORE,,#T33 #WP4 #WP6,area: areacella,area: time: mean,longitude latitude time height2m,,,,real,,
tas,mon,K,Near-Surface Air Temperature,air_temperature,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time height2m,,,,real,,
tasblue,1hr,K,Near-surface temperature blue spaces,bluespaces_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tasblue,day,K,Near-surface temperature blue spaces,bluespaces_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasblue,mon,K,Near-surface temperature blue spaces,bluespaces_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tascan,1hr,K,Near-surface temperature within canyon,temperature_canyon,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tascan,day,K,Near-surface temperature within canyon,temperature_canyon,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tascan,mon,K,Near-surface temperature within canyon,temperature_canyon,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasgree,1hr,K,Near-surface temperature green spaces,greenspaces_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tasgree,day,K,Near-surface temperature green spaces,greenspaces_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasgree,mon,K,Near-surface temperature green spaces,greenspaces_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasmax,1hr,K,Daily Maximum Near-Surface Air Temperature,air_temperature,,URB-CORE,,maximum from all integrated time steps per day,area: areacella,area: mean time: maximum,longitude latitude time height2m,,,,real,,
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 maximum from all integrated time steps per day,area: areacella,area: mean time: maximum,longitude latitude time height2m,,,,real,,
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,,URB-CORE,,maximum from all integrated time steps per day,area: areacella,area: mean time: maximum within days time: mean over days,longitude latitude time height2m,,,,real,,
tasmin,1hr,K,Daily Minimum Near-Surface Air Temperature,air_temperature,,URB-CORE,,minimum from all integrated time steps per day,area: areacella,area: mean time: minimum,longitude latitude time height2m,,,,real,,
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 minimum from all integrated time steps per day,area: areacella,area: mean time: minimum,longitude latitude time height2m,,,,real,,
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,,URB-CORE,,minimum from all integrated time steps per day,area: areacella,area: mean time: minimum within days time: mean over days,longitude latitude time height2m,,,,real,,
taspav,1hr,K,Near-surface temperature pavements,pavement_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
taspav,day,K,Near-surface temperature pavements,pavement_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
taspav,mon,K,Near-surface temperature pavements,pavement_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasroof,1hr,K,Near-surface temperature roof,roof_temperature,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
tasroof,day,K,Near-surface temperature roof,roof_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tasroof,mon,K,Near-surface temperature roof,roof_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tauu,1hr,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tauu,day,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tauu,mon,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tauv,1hr,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tauv,day,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
tauv,mon,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
total_lightning,day,counts,Total number lightning flashes,total_lightning,,,CONV-TIER1,if supplying ic_lightning and cg_lightning just add these,,time: sum,,,,,,,
ts,1hr,K,Surface Temperature,surface_temperature,,URB-CORE,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
